episode,time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay
1,1000,778,740,7,31,41.247297297297294
1,2000,1550,1495,23,32,41.25217391304348
1,3000,2304,2243,29,32,41.25769059295586
1,4000,3046,2986,31,29,41.26121902210315
1,5000,3762,3696,38,28,41.262445887445885
1,6000,4438,4369,41,28,41.26390478370337
1,7000,5076,5007,41,28,41.26462951867386
1,8000,5684,5619,41,24,41.26534970635344
1,9000,6272,6205,41,26,41.265914585012084
1,10000,6834,6769,41,24,41.26606588860984
1,11000,7380,7317,41,22,41.26609266092661
1,12000,7912,7849,41,22,41.266275958720854
1,13000,8438,8375,41,22,41.26626865671642
1,14000,8962,8899,41,22,41.26643443083493
1,15000,9482,9419,41,22,41.26637647308632
1,16000,9998,9935,41,22,41.26633115249119
1,17000,10516,10453,41,22,41.26623935712236
1,18000,11052,10989,41,22,41.266266266266264
1,19000,11620,11555,41,24,41.26611856339247
1,20000,12230,12165,41,24,41.266255651459105
1,21000,12896,12827,41,28,41.2664691666017
1,22000,13624,13546,48,30,41.26642551306659
1,23000,14432,14321,78,33,41.265204943788845
1,24000,15292,15132,127,33,41.263745704467354
1,25000,16198,15963,201,34,41.261667606339664
1,26000,17138,16824,278,36,41.25980741797432
1,27000,18106,17652,417,37,41.25872422388398
1,28000,19110,18466,608,36,41.256471352756414
1,29000,20152,19334,781,37,41.254887762490945
1,30000,21238,20183,1019,36,41.25397611851558
1,31000,22360,21033,1289,38,41.252412875005945
1,32000,23496,21891,1568,37,41.25097071856014
1,33000,24646,22706,1906,34,41.249889896943536
1,34000,25802,23531,2235,36,41.24903319025966
1,35000,26970,24363,2570,37,41.24828633583713
1,36000,28150,25211,2901,38,41.24790765935504
1,37000,29346,26076,3235,35,41.24743058751342
1,38000,30556,26870,3649,37,41.24547822850763
1,39000,31778,27704,4036,38,41.24436904418135
1,40000,33016,28533,4444,39,41.242876669119966
1,41000,34262,29358,4868,36,41.242250834525514
1,42000,35514,30180,5300,34,41.24178263750829
1,43000,36768,31001,5729,38,41.241088997129125
1,44000,38024,31816,6173,35,41.24038219763641
1,45000,39284,32637,6610,37,41.23975855623985
1,46000,40548,33461,7048,39,41.23929350587251
1,47000,41822,34314,7472,36,41.2390860873113
1,48000,43118,35173,7907,38,41.238791118187244
1,49000,44448,36006,8404,38,41.23793256679442
1,50000,45806,36829,8941,36,41.23739444459529
1,51000,47188,37685,9467,36,41.23720313121932
1,52000,48584,38538,10006,40,41.23703876693134
1,53000,49972,39395,10538,39,41.23678131742607
1,54000,51350,40244,11067,39,41.23638306331379
1,55000,52720,41088,11594,38,41.23610299844237
1,56000,54084,41911,12136,37,41.235689914342295
1,57000,55428,42720,12670,38,41.23525280898876
1,58000,56742,43516,13189,37,41.23423568342679
1,59000,58024,44364,13623,37,41.23397349202056
1,60000,59280,45184,14059,37,41.233688916430594
1,61000,60504,45999,14468,37,41.23302680493054
1,62000,61700,46860,14803,37,41.232970550576184
1,63000,62874,47706,15132,36,41.23288475244204
1,64000,64048,48553,15458,37,41.23283834160608
1,65000,65262,49346,15878,38,41.23199448790176
1,66000,66516,50175,16307,34,41.23186846038864
1,67000,67804,51017,16751,36,41.23158947017661
1,68000,69132,51835,17257,40,41.231175846435804
1,69000,70508,52671,17796,41,41.23098099523457
1,70000,71938,53462,18440,36,41.23050016834387
1,71000,73424,54302,19082,40,41.23032300836065
1,72000,74940,55092,19809,39,41.22959776374065
1,73000,76474,55880,20556,38,41.22908017179671
1,74000,78040,56716,21287,37,41.228912476197195
1,75000,79620,57558,22026,36,41.22877792835053
1,76000,81232,58356,22838,38,41.22818561930222
1,77000,82856,59139,23681,36,41.22768393107763
1,78000,84440,59976,24427,37,41.22752434307056
1,79000,86006,60810,25158,38,41.22741325439895
1,80000,87548,61615,25896,37,41.227103789661605
1,81000,89066,62402,26626,38,41.22646710041345
1,82000,90570,63151,27381,38,41.225459612674385
1,83000,92038,63990,28009,39,41.2253164556962
1,84000,93392,64806,28548,38,41.225164336635494
1,85000,94624,65665,28921,38,41.22502093961776
1,86000,95730,66469,29224,37,41.22455580797063
1,87000,96726,67324,29365,37,41.224719268017346
1,88000,97678,68205,29435,38,41.22477824206437
1,89000,98578,69054,29488,36,41.22495438352593
1,90000,99432,69876,29521,35,41.22522754593852
1,91000,100248,70656,29558,34,41.22543025362319
1,92000,101026,71416,29577,33,41.22577573652963
1,93000,101768,72156,29582,30,41.22623205277454
1,94000,102480,72863,29587,30,41.22664452465586
1,95000,103160,73544,29588,28,41.227061351027956
