episode,time,total_flows,successful_flows,in_network_flows,dropped_flows,dropped_flows_sfc_1,dropped_flows_sfc_2,dropped_flows_sfc_3,dropped_flows_sfc_4,avg_end2end_delay,avg_end2end_delay_sfc_1,avg_end2end_delay_sfc_2,avg_end2end_delay_sfc_3,avg_end2end_delay_sfc_4
1,1000,778,746,32,0,0,0,0,0,41.0,41.0,41.0,41.0,41.0
1,2000,1550,1518,32,0,0,0,0,0,41.0,41.0,41.0,41.0,41.0
1,3000,2304,2272,32,0,0,0,0,0,41.0,41.0,41.0,41.0,41.0
1,4000,3046,3016,30,0,0,0,0,0,41.0,41.0,41.0,41.0,41.0
1,5000,3762,3734,28,0,0,0,0,0,41.0,41.0,41.0,41.0,41.0
1,6000,4438,4410,28,0,0,0,0,0,41.0,41.0,41.0,41.0,41.0
1,7000,5076,5048,28,0,0,0,0,0,41.0,41.0,41.0,41.0,41.0
1,8000,5684,5660,24,0,0,0,0,0,41.0,41.0,41.0,41.0,41.0
1,9000,6272,6246,26,0,0,0,0,0,41.0,41.0,41.0,41.0,41.0
1,10000,6834,6810,24,0,0,0,0,0,41.0,41.0,41.0,41.0,41.0
1,11000,7380,7358,22,0,0,0,0,0,41.0,41.0,41.0,41.0,41.0
1,12000,7912,7890,22,0,0,0,0,0,41.0,41.0,41.0,41.0,41.0
1,13000,8438,8416,22,0,0,0,0,0,41.0,41.0,41.0,41.0,41.0
1,14000,8962,8940,22,0,0,0,0,0,41.0,41.0,41.0,41.0,41.0
1,15000,9482,9460,22,0,0,0,0,0,41.0,41.0,41.0,41.0,41.0
1,16000,9998,9976,22,0,0,0,0,0,41.0,41.0,41.0,41.0,41.0
1,17000,10516,10494,22,0,0,0,0,0,41.0,41.0,41.0,41.0,41.0
1,18000,11052,11030,22,0,0,0,0,0,41.0,41.0,41.0,41.0,41.0
1,19000,11620,11596,24,0,0,0,0,0,41.0,41.0,41.0,41.0,41.0
1,20000,12230,12206,24,0,0,0,0,0,41.0,41.0,41.0,41.0,41.0
1,21000,12896,12868,28,0,0,0,0,0,41.0,41.0,41.0,41.0,41.0
1,22000,13624,13594,30,0,0,0,0,0,41.0,41.0,41.0,41.0,41.0
1,23000,14432,14398,34,0,0,0,0,0,41.0,41.0,41.0,41.0,41.0
1,24000,15292,15258,34,0,0,0,0,0,41.0,41.0,41.0,41.0,41.0
1,25000,16198,16162,36,0,0,0,0,0,41.0,41.0,41.0,41.0,41.0
1,26000,17138,17100,38,0,0,0,0,0,41.0,41.0,41.0,41.0,41.0
1,27000,18106,17982,36,88,45,16,4,23,41.0,41.0,41.0,41.0,41.0
1,28000,19110,18892,38,180,105,25,9,41,41.0,41.0,41.0,41.0,41.0
1,29000,20152,19840,38,274,169,33,15,57,41.0,41.0,41.0,41.0,41.0
1,30000,21238,20746,36,456,281,49,22,104,41.0,41.0,41.0,41.0,41.0
1,31000,22360,21680,38,642,385,66,34,157,41.0,41.0,41.0,41.0,41.0
1,32000,23496,22626,38,832,493,82,50,207,41.0,41.0,41.0,41.0,41.0
1,33000,24646,23514,34,1098,674,103,73,248,41.0,41.0,41.0,41.0,41.0
1,34000,25802,24402,36,1364,834,122,109,299,41.0,41.0,41.0,41.0,41.0
1,35000,26970,25300,36,1634,1021,147,130,336,41.0,41.0,41.0,41.0,41.0
1,36000,28150,26206,38,1906,1202,175,161,368,41.0,41.0,41.0,41.0,41.0
1,37000,29346,27128,36,2182,1387,203,185,407,41.0,41.0,41.0,41.0,41.0
1,38000,30556,28056,38,2462,1576,234,209,443,41.0,41.0,41.0,41.0,41.0
1,39000,31778,28996,38,2744,1770,261,236,477,41.0,41.0,41.0,41.0,41.0
